MAL_ID,rank
1827,417
37430,418
10153,418
721,420
34572,421
33486,422
35110,423
731,424
1364,425
6467,426
6746,427
121,428
3371,429
25313,429
40815,431
39592,432
30831,433
8129,434
42977,434
15323,435
2236,436
50631,437
1566,438
32902,439
48895,440
44189,440
40542,441
29831,442
44931,443
35608,444
3702,445
18689,446
10534,447
32122,448
2581,449
6336,450
39783,451
30370,452
3901,453
20899,454
16662,455
34076,456
23283,457
31051,458
4155,459
13759,460
32282,461
4938,462
28025,463
302,464
19815,465
42497,465
9130,466
4722,467
4224,468
24833,469
16918,470
12069,472
14713,473
2951,474
39198,474
3016,474
135,476
42429,477
12189,478
15059,479
3927,480
31658,481
40435,482
40080,483
339,484
21469,485
1382,486
40907,487
48631,487
24277,488
6547,489
2025,490
1367,491
21419,492
10643,493
2449,494
38993,494
11771,496
22145,497
23317,498
35062,499
41402,500
34822,501
237,502
21557,503
1559,504
36456,505
1471,506
38668,507
3665,508
27833,508
1974,511
38081,511
8425,513
2164,514
17739,514
49320,515
27821,516
4918,517
50346,518
1486,519
851,520
42249,521
1943,522
1257,523
1506,524
72,525
31251,526
18679,527
25013,528
37870,529
41781,530
889,531
781,532
1363,533
227,534
36369,535
589,536
268,537
153,538
18661,539
3783,540
34626,541
42496,541
2034,542
1914,543
42923,544
5681,545
42941,546
33161,547
40174,548
4901,550
27663,550
1482,551
3167,552
49709,553
30364,554
14513,556
47904,556
49784,557
9204,558
35788,559
535,560
16049,561
5365,562
31149,563
44235,564
42916,565
6211,566
14813,567
34376,568
9963,569
37822,570
2759,571
16,572
39468,573
7054,574
16706,575
14807,576
81,577
2563,578
39565,579
2167,580
4789,581
6421,582
27989,583
6045,584
49782,585
35790,586
1023,587
861,588
34440,589
23199,590
7465,591
40716,592
2448,593
40397,594
16067,595
846,596
1065,597
33206,598
4672,599
41169,600
20,601
7720,601
30015,603
48548,604
52846,604
66,606
27831,607
29755,607
2004,609
39570,610
38422,611
9656,612
31173,613
49063,613
4772,614
387,615
25879,616
32615,617
35382,618
77,619
5029,620
401,621
6171,622
12477,623
36949,624
4053,625
48926,626
20507,627
223,628
967,629
36963,630
1530,631
48411,632
42250,633
44412,634
33970,635
645,636
9996,637
1096,638
82,639
5678,640
416,641
7222,641
1089,643
10721,644
10049,645
50410,646
8740,647
31174,648
5682,649
35848,650
2618,651
2154,652
16001,653
50360,654
37932,656
17549,656
996,657
4059,658
38084,659
34100,660
53111,660
122,661
38337,662
31973,664
21855,664
33221,665
11113,666
12031,667
2076,667
41611,669
42640,670
35968,671
38349,672
793,673
18179,674
17265,675
15689,677
658,677
4106,678
49638,679
73,680
52198,680
11739,681
38408,683
34944,683
1470,684
34437,685
7338,686
6438,686
11239,688
15,689
28,689
30279,690
14075,691
38080,694
6774,694
24997,695
29803,696
37675,697
16395,697
21647,698
1088,700
28297,702
31490,702
27775,703
31964,704
12815,704
38409,707
2952,707
9289,708
2890,709
427,709
48580,711
13331,711
40615,712
31098,713
543,715
37786,716
32995,717
27947,719
3228,719
16782,719
33926,720
114,722
41389,723
269,724
995,724
31339,727
2924,727
22961,727
790,728
7062,728
35222,729
2829,731
14719,734
29893,734
41782,735
48702,736
39164,736
34438,736
14353,737
26213,739
3907,741
187,743
934,743
1594,743
48316,746
7711,746
10080,747
3572,748
957,749
85,749
24,750
2159,750
11813,751
2752,752
36563,754
2158,755
36215,755
38201,757
8063,758
20057,759
532,760
780,762
37435,762
3014,764
9513,766
35075,766
12113,767
2761,769
10012,769
30415,771
36028,771
42076,772
6377,774
1695,775
18429,776
42745,777
4985,777
25161,779
6007,780
2605,781
20371,782
18397,783
949,784
30745,785
25517,786
569,787
30885,788
26123,789
11123,790
22,791
8408,791
9941,792
37029,794
249,795
49220,795
39938,795
49587,797
49828,798
37936,799
50364,799
35507,800
23225,800
32380,803
34021,804
30952,804
31741,805
322,806
32547,806
48171,807
15039,810
779,810
39195,810
35798,811
37150,812
29093,813
14175,814
24471,815
39534,817
5680,819
9734,819
429,820
52168,821
23289,823
38770,823
40046,824
2828,825
6862,826
17909,828
4280,828
1921,829
6586,830
28725,831
4087,832
42670,833
400,834
34504,835
3588,836
6582,837
32093,838
51710,839
49893,840
795,841
4163,842
33190,843
23777,845
849,846
12445,847
6505,847
52736,848
32998,849
46352,851
24921,851
9465,853
2450,853
51083,853
388,854
12893,856
2623,856
44248,857
267,859
40372,860
7645,861
37765,862
10521,863
12403,863
890,864
44218,865
33489,868
40082,868
39575,869
34745,869
40215,870
1485,871
40935,872
31478,875
2035,876
41497,877
3604,877
4872,878
40262,879
36593,879
253,881
2762,882
52575,882
41462,883
9724,884
21185,884
7304,887
41923,888
12413,888
16916,889
23293,890
1729,892
36702,893
36796,893
36106,895
1172,896
29830,897
97,898
32871,898
4472,900
14349,900
8038,901
22097,902
40858,904
9088,904
397,905
15771,905
42344,906
52832,907
52976,909
1472,910
41461,911
1366,912
1491,913
37033,913
40956,914
9563,916
35082,916
451,918
34451,919
202,920
5310,921
34375,921
28881,922
53013,922
1376,924
43439,926
2273,927
45055,928
22319,929
38990,930
6351,931
10029,932
1505,933
29787,934
468,937
33280,937
254,938
3782,938
42847,939
41674,940
9252,941
4447,943
6768,944
2397,944
2471,946
50030,947
2321,947
28669,948
21877,949
20431,950
570,952
53672,952
33263,954
49776,955
1425,955
875,956
8310,957
7588,959
19613,959
